local_id,orig_id,mean_t0
0,1,0.7333
1,14,0.6000
2,17,0.4667
3,19,0.8000
4,20,0.7333
5,33,0.5333
6,34,0.6667
7,39,0.8000
8,44,0.6667
9,45,0.8667
10,48,0.8667
11,49,0.6667
12,50,0.4667
13,51,0.6000
14,55,0.7333
15,61,0.6000
16,65,0.6000
17,70,0.8667
18,73,0.8667
19,79,0.2000
20,80,0.0667
21,85,0.6667
22,94,0.3333
23,99,0.5333
24,101,0.6667
25,106,0.6000
26,112,0.6667
27,114,0.8667
28,115,0.5333
29,119,0.4667
30,128,0.7333
31,130,0.7333
32,139,0.4667
33,153,0.7333
34,155,0.7333
35,164,0.8667
36,165,0.2667
37,173,0.6667
38,174,0.8000
39,186,0.7333
40,196,0.6667
41,205,0.8667
42,211,0.3333
43,219,0.8667
44,223,0.8000
45,226,0.8667
46,239,0.7333
47,241,0.8667
48,264,0.7333
49,279,0.8667
50,282,0.8667
51,283,0.8000
52,287,0.5333
53,288,0.7333
54,295,0.5333
55,299,0.8000
56,308,0.6000
57,310,0.5333
58,315,0.7333
59,317,0.2000
60,323,0.7333
61,327,0.2000
62,332,0.8000
63,342,0.7333
64,343,0.8667
65,344,0.4000
66,347,0.8667
67,354,0.8000
68,359,0.8667
69,360,0.6667
70,362,0.8667
71,364,0.8000
72,366,0.4667
73,371,0.6667
74,381,0.6667
75,382,0.6000
76,384,0.5333
77,387,0.4667
78,389,0.4667
79,390,0.7333
80,392,0.8667
81,402,0.8667
82,403,0.8000
83,405,0.3333
84,407,0.6000
85,409,0.6000
86,413,0.6667
87,416,0.6000
88,418,0.4000
89,422,0.8667
90,430,0.4667
91,432,0.6000
92,446,0.7333
93,456,0.6667
94,462,0.6667
95,463,0.8000
96,468,0.8000
97,469,0.8667
98,470,0.8000
99,473,0.6667
100,487,0.8667
101,498,0.6667
102,508,0.7333
103,510,0.8000
104,516,0.6667
105,530,0.8667
106,535,0.6000
107,537,0.6667
108,547,0.8667
109,571,0.6000
110,574,0.5333
111,578,0.6000
112,582,0.8667
113,592,0.7333
114,600,0.8000
115,604,0.4667
116,617,0.6667
117,618,0.8667
118,629,0.7333
119,634,0.8667
120,640,0.4000
121,643,0.0667
122,644,0.8667
123,645,0.7333
124,648,0.8667
125,651,0.6000
126,661,0.8000
127,662,0.6000
128,668,0.8667
129,672,0.8667
130,676,0.8000
131,677,0.4667
132,682,0.8000
133,685,0.6667
134,689,0.6667
135,692,0.8000
136,693,0.6667
137,704,0.8000
138,705,0.7333
139,706,0.8000
140,707,0.4667
141,710,0.8667
142,713,0.8000
143,720,0.5333
144,722,0.0667
145,729,0.6667
146,740,0.8000
147,748,0.6000
148,750,0.8000
149,760,0.6000
150,776,0.7333
151,779,0.7333
152,788,0.5333
153,790,0.6667
154,792,0.6000
155,797,0.5333
