local_id,orig_id,sdc_interaction_steps
0,1,22
1,7,29
2,21,32
3,27,48
4,31,27
5,32,31
6,49,27
7,55,29
8,56,35
9,60,30
10,61,50
11,73,43
12,80,28
13,85,30
14,86,22
15,88,47
16,91,27
17,96,30
18,116,30
19,124,34
20,132,50
21,144,22
22,153,22
23,155,49
24,164,41
25,172,44
26,196,41
27,204,22
28,205,41
29,211,30
30,215,44
31,219,39
32,228,30
33,243,21
34,244,28
35,249,26
36,257,24
37,277,39
38,281,41
39,284,43
40,287,48
41,288,26
42,293,39
43,294,22
44,296,48
45,309,49
46,310,42
47,315,34
48,322,31
49,350,50
50,355,21
51,356,21
52,357,35
53,363,23
54,365,37
55,368,25
56,370,24
57,371,30
58,374,44
59,383,24
60,389,42
61,392,51
62,398,43
63,402,51
64,418,23
65,421,37
66,424,47
67,429,26
68,434,25
69,443,26
70,445,24
71,447,31
72,456,36
73,462,24
74,472,51
75,476,48
76,485,31
77,491,34
78,500,23
79,501,42
80,508,43
81,510,29
82,512,32
83,535,21
84,536,22
85,539,36
86,541,36
87,573,43
88,576,32
89,581,30
90,583,25
91,584,44
92,587,49
93,588,23
94,604,27
95,616,32
96,626,37
97,627,33
98,633,21
99,637,26
100,649,44
101,672,30
102,677,23
103,679,45
104,692,22
105,697,21
106,710,30
107,712,40
108,717,29
109,718,46
110,719,25
111,722,21
112,726,36
113,729,21
114,732,39
115,739,43
116,747,38
117,757,24
118,759,30
119,768,34
120,780,50
121,787,41
122,794,23
123,797,42
124,798,27
125,799,40
126,810,29
127,811,34
128,815,49
129,818,30
130,825,41
131,827,36
132,836,36
133,855,26
134,867,48
135,870,22
136,872,45
137,881,40
138,892,30
139,904,39
140,907,39
141,911,36
142,913,25
143,938,25
144,943,49
145,957,23
146,958,41
147,959,42
148,961,31
149,963,22
150,966,41
151,971,30
152,980,22
153,981,39
154,982,21
155,993,21
156,1003,32
157,1008,44
158,1020,38
159,1027,24
160,1028,21
161,1029,39
162,1050,36
163,1052,33
164,1055,32
165,1057,33
166,1067,30
167,1073,31
168,1097,39
169,1099,21
170,1101,30
171,1109,39
172,1111,24
173,1119,51
174,1123,30
175,1139,31
176,1144,36
177,1149,47
178,1150,25
179,1159,35
180,1173,32
181,1174,42
182,1179,30
183,1183,42
184,1184,27
185,1189,22
186,1193,49
187,1196,49
188,1197,50
189,1199,24
190,1206,26
191,1210,51
192,1212,45
193,1221,22
194,1226,26
195,1227,36
196,1229,47
197,1235,44
198,1237,50
199,1245,35
200,1250,21
201,1253,30
202,1260,28
203,1266,36
204,1267,36
205,1277,39
206,1284,29
207,1286,30
208,1287,33
209,1308,25
210,1316,27
211,1321,23
212,1328,40
213,1329,21
214,1344,37
215,1348,31
216,1351,42
217,1353,25
218,1365,30
219,1368,21
220,1375,22
221,1376,35
222,1378,24
223,1383,43
224,1389,30
225,1402,21
226,1431,34
227,1433,36
228,1436,34
229,1439,25
230,1456,34
231,1459,22
232,1462,49
233,1470,27
234,1475,23
235,1478,26
236,1485,24
237,1488,42
238,1494,31
239,1513,21
240,1515,37
241,1519,48
242,1545,50
243,1546,36
244,1552,31
245,1566,26
246,1587,49
247,1588,47
248,1602,36
249,1610,35
250,1613,22
251,1628,37
252,1631,37
253,1637,33
254,1640,34
255,1649,22
256,1660,24
257,1685,25
258,1686,35
259,1698,29
260,1702,31
261,1703,25
262,1705,45
263,1707,25
264,1714,26
265,1715,34
266,1719,24
267,1722,25
268,1730,26
269,1732,28
270,1744,50
271,1762,21
272,1787,42
273,1803,34
274,1805,33
275,1807,50
276,1818,42
277,1820,26
278,1830,36
279,1832,28
280,1839,25
281,1842,31
282,1843,22
283,1845,48
284,1853,27
285,1858,21
286,1863,36
287,1864,33
288,1866,37
289,1871,23
290,1896,41
291,1906,23
292,1915,36
293,1917,29
294,1922,27
295,1930,22
296,1945,46
297,1948,28
298,1951,26
299,1952,27
300,1953,23
301,1954,24
302,1957,33
303,1971,48
304,1973,33
305,1977,40
306,1987,41
307,1997,38
308,2001,43
309,2004,28
310,2005,32
311,2019,44
312,2039,41
313,2048,34
314,2049,28
315,2054,34
316,2056,23
317,2059,25
318,2071,39
319,2081,43
320,2086,28
321,2088,39
322,2100,39
323,2102,39
324,2103,44
325,2105,29
326,2108,27
327,2109,26
328,2117,23
329,2119,33
330,2127,34
331,2131,30
332,2148,50
333,2151,26
334,2158,29
335,2173,36
336,2175,44
337,2184,27
338,2188,46
339,2189,27
340,2198,26
341,2202,29
342,2203,47
343,2211,38
344,2230,33
345,2253,33
346,2274,22
347,2275,41
348,2277,36
349,2290,25
350,2312,33
351,2318,36
352,2323,31
353,2324,23
354,2325,43
355,2326,24
356,2340,43
357,2341,24
358,2343,36
359,2353,22
360,2375,36
361,2378,49
362,2383,30
363,2385,46
364,2386,35
365,2390,25
366,2396,34
367,2398,36
368,2404,47
369,2405,34
370,2410,22
371,2428,44
372,2430,22
373,2432,34
374,2438,42
375,2446,34
376,2450,51
377,2458,35
378,2469,37
379,2474,42
380,2476,34
381,2485,51
382,2496,28
383,2511,27
384,2512,25
385,2513,50
386,2517,28
387,2521,35
388,2525,39
389,2533,31
390,2534,25
391,2540,29
392,2542,28
393,2544,33
394,2556,39
395,2569,51
396,2574,26
397,2581,27
398,2583,26
399,2592,27
400,2593,29
401,2607,48
402,2608,49
403,2612,51
404,2618,51
405,2640,26
406,2645,49
407,2647,39
408,2658,39
409,2667,24
410,2673,37
411,2676,35
412,2683,24
413,2686,41
414,2695,23
415,2702,39
416,2709,41
417,2721,24
418,2729,29
419,2732,44
420,2735,36
421,2739,41
422,2756,22
423,2759,35
424,2764,24
425,2768,22
426,2771,44
427,2788,26
428,2792,33
429,2795,37
430,2801,24
431,2805,41
432,2816,39
433,2818,31
434,2838,36
435,2841,48
436,2842,37
437,2844,28
438,2853,34
439,2857,31
440,2858,50
441,2859,26
442,2862,47
443,2865,44
444,2867,26
445,2869,21
446,2874,28
447,2875,48
448,2882,28
449,2891,22
450,2896,30
451,2900,25
452,2912,24
453,2923,47
454,2929,35
455,2937,37
456,2938,27
457,2947,29
458,2956,49
459,2961,50
460,2963,28
461,2979,41
462,2982,35
463,2983,25
464,2985,45
465,2991,24
466,2993,38
