partner,entropy_ub,k,seed,wandb_id,exp_dir,final_ckpt,final_iter,target_iter,status
6rauydj2,0.50,2,42,cgq46nnk,experiments/puffer_adaptive_drive_cgq46nnk,experiments/puffer_adaptive_drive_cgq46nnk/model_puffer_adaptive_drive_000228.pt,228,228,final
6rauydj2,0.50,2,43,c8yihf5o,experiments/puffer_adaptive_drive_c8yihf5o,experiments/puffer_adaptive_drive_c8yihf5o/model_puffer_adaptive_drive_000220.pt,220,228,final
6rauydj2,0.50,2,44,yw4mao1d,experiments/puffer_adaptive_drive_yw4mao1d,experiments/puffer_adaptive_drive_yw4mao1d/model_puffer_adaptive_drive_000228.pt,228,228,final
6rauydj2,0.50,3,42,x4cskyot,experiments/puffer_adaptive_drive_x4cskyot,experiments/puffer_adaptive_drive_x4cskyot/model_puffer_adaptive_drive_000152.pt,152,152,final
6rauydj2,0.50,3,43,blyerjec,experiments/puffer_adaptive_drive_blyerjec,experiments/puffer_adaptive_drive_blyerjec/model_puffer_adaptive_drive_000140.pt,140,152,resuming(11287601_22)
6rauydj2,0.50,3,44,1eqwuq6m,experiments/puffer_adaptive_drive_1eqwuq6m,experiments/puffer_adaptive_drive_1eqwuq6m/model_puffer_adaptive_drive_000152.pt,152,152,final
6rauydj2,0.50,4,42,m4ibxlhu,experiments/puffer_adaptive_drive_m4ibxlhu,experiments/puffer_adaptive_drive_m4ibxlhu/model_puffer_adaptive_drive_000114.pt,114,114,final
6rauydj2,0.50,4,43,yu0vk259,experiments/puffer_adaptive_drive_yu0vk259,experiments/puffer_adaptive_drive_yu0vk259/model_puffer_adaptive_drive_000114.pt,114,114,final
6rauydj2,0.50,4,44,7s0p1b8q,experiments/puffer_adaptive_drive_7s0p1b8q,experiments/puffer_adaptive_drive_7s0p1b8q/model_puffer_adaptive_drive_000114.pt,114,114,final
6rauydj2,0.50,5,42,hzttkj82,experiments/puffer_adaptive_drive_hzttkj82,experiments/puffer_adaptive_drive_hzttkj82/model_puffer_adaptive_drive_000365.pt,365,365,final
6rauydj2,0.50,5,43,fkufm4ol,experiments/puffer_adaptive_drive_fkufm4ol,experiments/puffer_adaptive_drive_fkufm4ol/model_puffer_adaptive_drive_000365.pt,365,365,final
6rauydj2,0.50,5,44,071oqqu5,experiments/puffer_adaptive_drive_071oqqu5,experiments/puffer_adaptive_drive_071oqqu5/model_puffer_adaptive_drive_000365.pt,365,365,final
6rauydj2,0.50,6,42,p4ltvhdf,experiments/puffer_adaptive_drive_p4ltvhdf,experiments/puffer_adaptive_drive_p4ltvhdf/model_puffer_adaptive_drive_000304.pt,304,304,final
6rauydj2,0.50,6,43,9ti3ocxm,experiments/puffer_adaptive_drive_9ti3ocxm,experiments/puffer_adaptive_drive_9ti3ocxm/model_puffer_adaptive_drive_000304.pt,304,304,final
6rauydj2,0.50,6,44,ly30vz8m,experiments/puffer_adaptive_drive_ly30vz8m,experiments/puffer_adaptive_drive_ly30vz8m/model_puffer_adaptive_drive_000304.pt,304,304,final
m2ygolog,0.20,2,42,obrwxqqy,experiments/puffer_adaptive_drive_obrwxqqy,experiments/puffer_adaptive_drive_obrwxqqy/model_puffer_adaptive_drive_000228.pt,228,228,final
m2ygolog,0.20,2,43,gesyc4j9,experiments/puffer_adaptive_drive_gesyc4j9,experiments/puffer_adaptive_drive_gesyc4j9/model_puffer_adaptive_drive_000228.pt,228,228,final
m2ygolog,0.20,2,44,s790xh0d,experiments/puffer_adaptive_drive_s790xh0d,experiments/puffer_adaptive_drive_s790xh0d/model_puffer_adaptive_drive_000228.pt,228,228,final
m2ygolog,0.20,3,42,052n7brp,experiments/puffer_adaptive_drive_052n7brp,experiments/puffer_adaptive_drive_052n7brp/model_puffer_adaptive_drive_000090.pt,90,152,resuming(11287601_12)
m2ygolog,0.20,3,43,n46bkreg,experiments/puffer_adaptive_drive_n46bkreg,experiments/puffer_adaptive_drive_n46bkreg/model_puffer_adaptive_drive_000152.pt,152,152,final
m2ygolog,0.20,3,44,cei22yc1,experiments/puffer_adaptive_drive_cei22yc1,experiments/puffer_adaptive_drive_cei22yc1/model_puffer_adaptive_drive_000130.pt,130,152,resuming(11287601_14)
m2ygolog,0.20,4,42,ftxa55g3,experiments/puffer_adaptive_drive_ftxa55g3,experiments/puffer_adaptive_drive_ftxa55g3/model_puffer_adaptive_drive_000114.pt,114,114,final
m2ygolog,0.20,4,43,citbzhdc,experiments/puffer_adaptive_drive_citbzhdc,experiments/puffer_adaptive_drive_citbzhdc/model_puffer_adaptive_drive_000010.pt,10,114,resuming(11287601_16)
m2ygolog,0.20,4,44,c0k9uqhc,experiments/puffer_adaptive_drive_c0k9uqhc,experiments/puffer_adaptive_drive_c0k9uqhc/model_puffer_adaptive_drive_000114.pt,114,114,final
m2ygolog,0.20,5,42,72dilduo,experiments/puffer_adaptive_drive_72dilduo,experiments/puffer_adaptive_drive_72dilduo/model_puffer_adaptive_drive_000365.pt,365,365,final
