bin_id,scenario_id,num_vehicles,num_valid_vehicles,total_steps,interaction_events,sdc_interaction_steps,sdc_interactions_total,unique_pairs_in_interaction,score_per_step,json_path
1,00015cb00cf95151,88,64,151,172,22,22,14,1.1390728476821192,data/nuplan_gpudrive/nuplan/nuplan_00015cb00cf95151.json
2,00182efbcdab563b,40,40,150,141,8,8,14,0.94,data/nuplan_gpudrive/nuplan/nuplan_00182efbcdab563b.json
3,00222ca6070b503c,164,55,150,139,57,57,11,0.9266666666666666,data/nuplan_gpudrive/nuplan/nuplan_00222ca6070b503c.json
4,003503db94c952bf,85,41,151,113,72,72,5,0.7483443708609272,data/nuplan_gpudrive/nuplan/nuplan_003503db94c952bf.json
5,003b4b706cda59c2,6,5,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_003b4b706cda59c2.json
6,0042ed39305e51ed,42,19,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_0042ed39305e51ed.json
7,0045c829159d5f4f,203,42,150,110,29,29,8,0.7333333333333333,data/nuplan_gpudrive/nuplan/nuplan_0045c829159d5f4f.json
8,0055e985c3f95417,81,40,201,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_0055e985c3f95417.json
9,005c0ba621125090,112,25,150,15,0,0,2,0.1,data/nuplan_gpudrive/nuplan/nuplan_005c0ba621125090.json
10,0074b2562dd7522a,92,51,151,102,0,0,6,0.6754966887417219,data/nuplan_gpudrive/nuplan/nuplan_0074b2562dd7522a.json
11,0077fb33c03a5d8c,34,32,150,29,0,0,3,0.19333333333333333,data/nuplan_gpudrive/nuplan/nuplan_0077fb33c03a5d8c.json
12,0078531399a75858,96,57,150,253,0,0,7,1.6866666666666668,data/nuplan_gpudrive/nuplan/nuplan_0078531399a75858.json
13,009bcfa46e2955f5,252,213,150,1129,7,7,42,7.526666666666666,data/nuplan_gpudrive/nuplan/nuplan_009bcfa46e2955f5.json
14,009df6d3b8475d73,27,23,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_009df6d3b8475d73.json
15,00a5fe64a05b59b9,71,56,150,22,4,4,6,0.14666666666666667,data/nuplan_gpudrive/nuplan/nuplan_00a5fe64a05b59b9.json
16,00b8497ee52152cc,239,70,150,370,80,92,21,2.466666666666667,data/nuplan_gpudrive/nuplan/nuplan_00b8497ee52152cc.json
17,00be7c030adf5305,22,6,151,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_00be7c030adf5305.json
18,00bedbf54ba8576b,126,14,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_00bedbf54ba8576b.json
19,00e030b77df0524f,92,51,151,103,0,0,6,0.6821192052980133,data/nuplan_gpudrive/nuplan/nuplan_00e030b77df0524f.json
20,00e5661f470d5499,41,33,200,43,0,0,3,0.215,data/nuplan_gpudrive/nuplan/nuplan_00e5661f470d5499.json
21,00e756f7cc0b5838,323,112,150,120,32,32,3,0.8,data/nuplan_gpudrive/nuplan/nuplan_00e756f7cc0b5838.json
22,00f36767dff2520a,50,39,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_00f36767dff2520a.json
23,00f85c3a2b195d49,4,2,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_00f85c3a2b195d49.json
24,00fffd2405ae5d0b,6,5,151,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_00fffd2405ae5d0b.json
25,0102a224c2c059cd,166,59,150,136,0,0,9,0.9066666666666666,data/nuplan_gpudrive/nuplan/nuplan_0102a224c2c059cd.json
26,0107abb4bf895c1e,86,73,151,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_0107abb4bf895c1e.json
27,01114ff2f43a59b4,94,53,151,129,48,51,4,0.8543046357615894,data/nuplan_gpudrive/nuplan/nuplan_01114ff2f43a59b4.json
28,011370eb0aee5269,96,46,150,23,0,0,2,0.15333333333333332,data/nuplan_gpudrive/nuplan/nuplan_011370eb0aee5269.json
29,0120e91ef85e58ae,70,53,150,12,0,0,2,0.08,data/nuplan_gpudrive/nuplan/nuplan_0120e91ef85e58ae.json
30,01272182d19156e1,143,58,150,63,10,10,9,0.42,data/nuplan_gpudrive/nuplan/nuplan_01272182d19156e1.json
31,01356ffd6d1f543d,87,77,150,56,27,27,11,0.37333333333333335,data/nuplan_gpudrive/nuplan/nuplan_01356ffd6d1f543d.json
32,0138307b52f3513e,180,61,201,242,31,31,17,1.2039800995024876,data/nuplan_gpudrive/nuplan/nuplan_0138307b52f3513e.json
33,01383d38c7b1596d,91,75,200,697,10,10,23,3.485,data/nuplan_gpudrive/nuplan/nuplan_01383d38c7b1596d.json
34,01440487ec92560c,124,117,150,675,0,0,62,4.5,data/nuplan_gpudrive/nuplan/nuplan_01440487ec92560c.json
35,0151568d7e6c5f45,45,36,150,29,13,13,3,0.19333333333333333,data/nuplan_gpudrive/nuplan/nuplan_0151568d7e6c5f45.json
36,016128f6d95a5994,54,47,151,158,0,0,9,1.0463576158940397,data/nuplan_gpudrive/nuplan/nuplan_016128f6d95a5994.json
37,01649900c5cc58c4,90,55,150,32,6,6,6,0.21333333333333335,data/nuplan_gpudrive/nuplan/nuplan_01649900c5cc58c4.json
38,0176fef0479e50a6,52,18,150,4,0,0,1,0.02666666666666667,data/nuplan_gpudrive/nuplan/nuplan_0176fef0479e50a6.json
39,01893fbd867c5792,170,83,150,338,19,19,16,2.2533333333333334,data/nuplan_gpudrive/nuplan/nuplan_01893fbd867c5792.json
40,019a114536255b81,98,46,150,44,0,0,2,0.29333333333333333,data/nuplan_gpudrive/nuplan/nuplan_019a114536255b81.json
41,01a0f4d4fb2658bb,9,8,201,3,3,3,1,0.014925373134328358,data/nuplan_gpudrive/nuplan/nuplan_01a0f4d4fb2658bb.json
42,01a65a5400e15a2b,39,37,150,15,4,4,3,0.1,data/nuplan_gpudrive/nuplan/nuplan_01a65a5400e15a2b.json
43,01bbcf3f0bf050cf,76,59,150,20,17,17,4,0.13333333333333333,data/nuplan_gpudrive/nuplan/nuplan_01bbcf3f0bf050cf.json
44,01c68dda27ad5ea6,45,12,201,24,0,0,1,0.11940298507462686,data/nuplan_gpudrive/nuplan/nuplan_01c68dda27ad5ea6.json
45,01ce37c8d0615ef8,146,48,200,13,0,0,1,0.065,data/nuplan_gpudrive/nuplan/nuplan_01ce37c8d0615ef8.json
46,01dac5be9e5a504f,15,7,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_01dac5be9e5a504f.json
47,01f474fdc8235ed0,38,18,150,1,0,0,1,0.006666666666666667,data/nuplan_gpudrive/nuplan/nuplan_01f474fdc8235ed0.json
48,01fb1e50ab0c52cd,13,8,200,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_01fb1e50ab0c52cd.json
49,0202a9d74ea757c4,108,73,150,862,27,27,22,5.746666666666667,data/nuplan_gpudrive/nuplan/nuplan_0202a9d74ea757c4.json
50,021100799e8551e1,22,6,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_021100799e8551e1.json
51,021e6bae3ddd599e,81,48,200,194,3,3,18,0.97,data/nuplan_gpudrive/nuplan/nuplan_021e6bae3ddd599e.json
52,022418c63e0e5fd2,132,85,200,194,5,5,14,0.97,data/nuplan_gpudrive/nuplan/nuplan_022418c63e0e5fd2.json
53,022e294c10725cfd,78,50,150,42,0,0,1,0.28,data/nuplan_gpudrive/nuplan/nuplan_022e294c10725cfd.json
54,023869ee18dc52eb,62,52,201,111,0,0,8,0.5522388059701493,data/nuplan_gpudrive/nuplan/nuplan_023869ee18dc52eb.json
55,0243962ecdd4536e,119,65,150,413,29,29,19,2.7533333333333334,data/nuplan_gpudrive/nuplan/nuplan_0243962ecdd4536e.json
56,02467b9c232f5807,137,51,151,392,35,35,21,2.596026490066225,data/nuplan_gpudrive/nuplan/nuplan_02467b9c232f5807.json
57,02501662f8ba5d06,13,9,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_02501662f8ba5d06.json
58,026f5dcfa594549b,133,33,201,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_026f5dcfa594549b.json
59,0282ea095c555cb0,278,80,150,222,85,85,12,1.48,data/nuplan_gpudrive/nuplan/nuplan_0282ea095c555cb0.json
60,02984419dece5de5,116,57,150,412,30,30,20,2.7466666666666666,data/nuplan_gpudrive/nuplan/nuplan_02984419dece5de5.json
61,02a0c16a9a795f00,134,68,150,229,50,50,14,1.5266666666666666,data/nuplan_gpudrive/nuplan/nuplan_02a0c16a9a795f00.json
62,02aebaf69ebd5894,41,36,200,22,0,0,2,0.11,data/nuplan_gpudrive/nuplan/nuplan_02aebaf69ebd5894.json
63,02b4fbd041255f0a,3,2,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_02b4fbd041255f0a.json
64,02b4fd000ca65134,119,77,150,16,5,5,5,0.10666666666666667,data/nuplan_gpudrive/nuplan/nuplan_02b4fd000ca65134.json
65,02bc0cef2b15538c,102,102,150,36,0,0,6,0.24,data/nuplan_gpudrive/nuplan/nuplan_02bc0cef2b15538c.json
66,0317c8ca2d9559ec,51,23,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_0317c8ca2d9559ec.json
67,0323623590705e8d,93,54,150,135,71,74,5,0.9,data/nuplan_gpudrive/nuplan/nuplan_0323623590705e8d.json
68,03292dcccaf05f09,44,35,200,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_03292dcccaf05f09.json
69,034727885923575a,160,124,201,461,52,57,28,2.2935323383084576,data/nuplan_gpudrive/nuplan/nuplan_034727885923575a.json
70,035d115b737a59cf,3,2,201,3,3,3,1,0.014925373134328358,data/nuplan_gpudrive/nuplan/nuplan_035d115b737a59cf.json
71,03737f01acf556c2,48,28,150,129,0,0,4,0.86,data/nuplan_gpudrive/nuplan/nuplan_03737f01acf556c2.json
72,037caa01890a5a62,210,51,150,67,16,16,5,0.44666666666666666,data/nuplan_gpudrive/nuplan/nuplan_037caa01890a5a62.json
73,037f2d9b27735ab3,212,55,200,249,43,43,14,1.245,data/nuplan_gpudrive/nuplan/nuplan_037f2d9b27735ab3.json
74,039df88f8ec85ebc,309,64,151,189,13,13,18,1.2516556291390728,data/nuplan_gpudrive/nuplan/nuplan_039df88f8ec85ebc.json
75,03a7a00c666950a6,44,39,200,4,0,0,1,0.02,data/nuplan_gpudrive/nuplan/nuplan_03a7a00c666950a6.json
76,03b66343e1ac5d68,170,81,150,56,0,0,6,0.37333333333333335,data/nuplan_gpudrive/nuplan/nuplan_03b66343e1ac5d68.json
77,0403e03771f75e7b,122,73,201,79,0,0,5,0.39303482587064675,data/nuplan_gpudrive/nuplan/nuplan_0403e03771f75e7b.json
78,0406808984cc5baf,75,49,150,73,0,0,6,0.4866666666666667,data/nuplan_gpudrive/nuplan/nuplan_0406808984cc5baf.json
79,04101d3a04115151,50,38,150,58,18,18,6,0.38666666666666666,data/nuplan_gpudrive/nuplan/nuplan_04101d3a04115151.json
80,04107d9a11e65701,274,97,200,316,28,28,23,1.58,data/nuplan_gpudrive/nuplan/nuplan_04107d9a11e65701.json
81,0416b3de2d2f5c18,40,28,200,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_0416b3de2d2f5c18.json
82,042450988c2f5990,100,94,201,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_042450988c2f5990.json
83,04500666ed0e5757,5,4,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_04500666ed0e5757.json
84,045d4c6e2d555737,89,38,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_045d4c6e2d555737.json
85,046464e367195839,67,54,151,36,30,30,4,0.23841059602649006,data/nuplan_gpudrive/nuplan/nuplan_046464e367195839.json
86,048e57ef10a55f7a,130,37,150,50,22,22,4,0.3333333333333333,data/nuplan_gpudrive/nuplan/nuplan_048e57ef10a55f7a.json
87,049d204a9b1b5271,224,52,151,52,6,6,9,0.3443708609271523,data/nuplan_gpudrive/nuplan/nuplan_049d204a9b1b5271.json
88,04b4fbdfd4e95e8c,249,62,151,152,47,47,10,1.0066225165562914,data/nuplan_gpudrive/nuplan/nuplan_04b4fbdfd4e95e8c.json
89,04bb7493751a585d,133,89,150,410,57,77,22,2.7333333333333334,data/nuplan_gpudrive/nuplan/nuplan_04bb7493751a585d.json
90,04cf62aa885d5f16,117,71,150,125,19,19,4,0.8333333333333334,data/nuplan_gpudrive/nuplan/nuplan_04cf62aa885d5f16.json
91,04e198f9b28451db,328,97,150,344,27,27,21,2.2933333333333334,data/nuplan_gpudrive/nuplan/nuplan_04e198f9b28451db.json
92,04ee90fc1f005755,125,47,150,258,0,0,15,1.72,data/nuplan_gpudrive/nuplan/nuplan_04ee90fc1f005755.json
93,04ef5d10af8c5252,56,55,151,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_04ef5d10af8c5252.json
94,04fb57ce2dbb5722,89,68,200,76,0,0,4,0.38,data/nuplan_gpudrive/nuplan/nuplan_04fb57ce2dbb5722.json
95,050798e9677652c9,69,35,150,3,0,0,1,0.02,data/nuplan_gpudrive/nuplan/nuplan_050798e9677652c9.json
96,0518b061b29350f2,179,78,150,120,30,30,5,0.8,data/nuplan_gpudrive/nuplan/nuplan_0518b061b29350f2.json
97,051df6db7c495b68,24,5,200,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_051df6db7c495b68.json
98,05206f4d401e5dd3,148,79,151,137,0,0,10,0.9072847682119205,data/nuplan_gpudrive/nuplan/nuplan_05206f4d401e5dd3.json
99,052282509676516c,67,46,151,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_052282509676516c.json
100,054a6d4f2c035e7a,5,4,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_054a6d4f2c035e7a.json
101,056c761adfb55f7b,9,8,201,2,2,2,1,0.009950248756218905,data/nuplan_gpudrive/nuplan/nuplan_056c761adfb55f7b.json
102,0574c4c3a05c5e2c,46,24,150,21,0,0,4,0.14,data/nuplan_gpudrive/nuplan/nuplan_0574c4c3a05c5e2c.json
103,05815f59dd775a32,300,90,150,183,73,73,11,1.22,data/nuplan_gpudrive/nuplan/nuplan_05815f59dd775a32.json
104,058839752f0d58ca,105,93,200,15,5,5,3,0.075,data/nuplan_gpudrive/nuplan/nuplan_058839752f0d58ca.json
105,058f831f96325302,119,106,150,505,20,20,21,3.3666666666666667,data/nuplan_gpudrive/nuplan/nuplan_058f831f96325302.json
106,05a96b85a6e657fe,173,159,150,894,0,0,44,5.96,data/nuplan_gpudrive/nuplan/nuplan_05a96b85a6e657fe.json
107,05ab03cc823153c5,125,106,201,467,0,0,30,2.3233830845771144,data/nuplan_gpudrive/nuplan/nuplan_05ab03cc823153c5.json
108,05bb9059903b5144,182,146,150,884,0,0,41,5.8933333333333335,data/nuplan_gpudrive/nuplan/nuplan_05bb9059903b5144.json
109,05d3f80c5f315390,239,56,200,483,0,0,20,2.415,data/nuplan_gpudrive/nuplan/nuplan_05d3f80c5f315390.json
110,05dcc532031e5b39,99,49,151,103,0,0,8,0.6821192052980133,data/nuplan_gpudrive/nuplan/nuplan_05dcc532031e5b39.json
111,05ea6ef514f65bc3,69,35,150,16,0,0,2,0.10666666666666667,data/nuplan_gpudrive/nuplan/nuplan_05ea6ef514f65bc3.json
112,05ead6e8370e54c2,136,59,151,154,0,0,9,1.0198675496688743,data/nuplan_gpudrive/nuplan/nuplan_05ead6e8370e54c2.json
113,05f457c424be5044,82,50,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_05f457c424be5044.json
114,05f9092e219d59f2,116,46,151,1,0,0,1,0.006622516556291391,data/nuplan_gpudrive/nuplan/nuplan_05f9092e219d59f2.json
115,0605c76fe22250c4,13,10,150,46,0,0,3,0.30666666666666664,data/nuplan_gpudrive/nuplan/nuplan_0605c76fe22250c4.json
116,0606aa65005c5eeb,336,109,150,439,30,30,30,2.9266666666666667,data/nuplan_gpudrive/nuplan/nuplan_0606aa65005c5eeb.json
117,0619ff6bb2445ca2,67,63,150,29,12,12,4,0.19333333333333333,data/nuplan_gpudrive/nuplan/nuplan_0619ff6bb2445ca2.json
118,062183127f7358b7,227,55,151,81,0,0,9,0.5364238410596026,data/nuplan_gpudrive/nuplan/nuplan_062183127f7358b7.json
119,062bb74dd4b25728,85,42,150,28,0,0,2,0.18666666666666668,data/nuplan_gpudrive/nuplan/nuplan_062bb74dd4b25728.json
120,064fa323e20b5088,25,21,150,9,2,2,3,0.06,data/nuplan_gpudrive/nuplan/nuplan_064fa323e20b5088.json
121,0650b12d8b1c57ca,46,40,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_0650b12d8b1c57ca.json
122,0661830a24f95345,41,27,150,8,0,0,1,0.05333333333333334,data/nuplan_gpudrive/nuplan/nuplan_0661830a24f95345.json
123,0665b506fc1d533b,63,39,150,75,0,0,7,0.5,data/nuplan_gpudrive/nuplan/nuplan_0665b506fc1d533b.json
124,069eb90d6ea55083,404,63,200,117,34,34,7,0.585,data/nuplan_gpudrive/nuplan/nuplan_069eb90d6ea55083.json
125,06b29659ec2b5437,97,76,200,166,8,8,15,0.83,data/nuplan_gpudrive/nuplan/nuplan_06b29659ec2b5437.json
126,06c3214a58dd53da,274,76,150,103,0,0,8,0.6866666666666666,data/nuplan_gpudrive/nuplan/nuplan_06c3214a58dd53da.json
127,06d2f264f0c05efd,50,31,150,96,0,0,7,0.64,data/nuplan_gpudrive/nuplan/nuplan_06d2f264f0c05efd.json
128,06eee58ed24f5a1a,34,31,151,27,0,0,2,0.17880794701986755,data/nuplan_gpudrive/nuplan/nuplan_06eee58ed24f5a1a.json
129,06efd5666b9e5012,243,71,150,367,76,88,21,2.4466666666666668,data/nuplan_gpudrive/nuplan/nuplan_06efd5666b9e5012.json
130,06fa0ab91ff45be5,263,73,201,26,19,19,3,0.12935323383084577,data/nuplan_gpudrive/nuplan/nuplan_06fa0ab91ff45be5.json
131,07111472fea7543f,165,60,150,28,0,0,3,0.18666666666666668,data/nuplan_gpudrive/nuplan/nuplan_07111472fea7543f.json
132,071a8e866c6d5688,35,24,200,83,50,50,15,0.415,data/nuplan_gpudrive/nuplan/nuplan_071a8e866c6d5688.json
133,071d18c3a5885c49,85,60,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_071d18c3a5885c49.json
134,0720be494bc35b80,237,85,200,274,0,0,29,1.37,data/nuplan_gpudrive/nuplan/nuplan_0720be494bc35b80.json
135,0725a8360d445329,50,45,150,32,6,6,2,0.21333333333333335,data/nuplan_gpudrive/nuplan/nuplan_0725a8360d445329.json
136,075ccb588d5d5055,45,41,150,0,0,0,0,0.0,data/nuplan_gpudrive/nuplan/nuplan_075ccb588d5d5055.json
137,0761ebbf126f5bbc,94,25,150,39,0,0,2,0.26,data/nuplan_gpudrive/nuplan/nuplan_0761ebbf126f5bbc.json
138,077516a463f25bd5,87,74,150,122,0,0,14,0.8133333333333334,data/nuplan_gpudrive/nuplan/nuplan_077516a463f25bd5.json
139,07798ace3e84553c,228,178,200,386,0,0,12,1.93,data/nuplan_gpudrive/nuplan/nuplan_07798ace3e84553c.json
